Customer ID,Name,Gender,Age,Occupation,Marital Status,"Address (City, State, Zip Code)",Age Bucket,Married Flag,Senior Citizen Flag,Customer Segment,Policy ID,Policy Type,Coverage Amount,Premium Amount,Policy Start Date,Policy End Date,Payment Frequency,Status,Policy Duration Days,Policy Duration Category,Active Policy Flag,Agent ID,Renewal Status,Policy Discounts,Risk Score,High_Risk_Flag,Risk Category,High Risk Flag,Renewal Segment
CUST87425473,Norma Fisher,Female,63,Futures trader,Married,"Sullivanport, New Mexico, 47431",56+,1,1,Senior Adult,POL10637039,Property,285269,540.55,2018-07-20,2024-12-31,Annually,Terminated,2356,Long Term,0,AGT55023546,Pending,5,45,0,Medium Risk,0,At Risk
CUST52762998,Susan Wagner,Male,57,Herbalist,Single,"Port Cody, Kentucky, 70305",56+,0,0,Senior Adult,POL30067784,Health,402009,809.51,2015-01-04,2022-09-07,Annually,Lapsed,2803,Long Term,0,AGT12774099,Not Renewed,5,84,1,High Risk,1,Churned
CUST82850738,Martin Harris,Other,18,Sub,Widowed,"Ramoshaven, Kentucky, 08664",18-25,0,0,Young Adult,POL32316303,Auto,432298,1160.47,2020-12-24,2025-12-02,Annually,Terminated,1804,Long Term,0,AGT98177414,Renewed,16,2,0,Low Risk,0,Loyal
CUST83770928,Kimberly Smith,Male,75,Oceanographer,Single,"New Tristanmouth, Kansas, 96220",56+,0,1,Senior Adult,POL60672344,Auto,85463,961.64,2019-07-25,2029-06-05,Annually,Active,3603,Long Term,1,AGT74100066,Pending,28,91,1,High Risk,1,At Risk
CUST83770928,Kimberly Smith,Male,75,Oceanographer,Single,"New Tristanmouth, Kansas, 96220",56+,0,1,Senior Adult,POL70199824,Health,493574,1108.25,2024-07-24,2032-06-10,Annually,Active,2878,Long Term,1,AGT56558569,Renewed,19,62,0,High Risk,0,Loyal
CUST03591575,Seth Lee,Other,44,Tax inspector,Divorced,"East Linda, Georgia, 71671",36-45,0,0,Middle Age,POL25630495,Health,24442,933.89,2017-02-12,2021-10-28,Annually,Lapsed,1719,Long Term,0,AGT34601248,Renewed,41,97,1,High Risk,1,Loyal
CUST45352116,Bobby Flores,Other,51,Rural practice surveyor,Widowed,"Rodriguezside, Maine, 93111",46-55,0,0,Senior Adult,POL02911863,Health,116641,1547.39,2018-12-21,2020-12-31,Quarterly,Terminated,741,Medium Term,0,AGT68996981,Not Renewed,13,76,1,High Risk,1,Churned
CUST45352116,Bobby Flores,Other,51,Rural practice surveyor,Widowed,"Rodriguezside, Maine, 93111",46-55,0,0,Senior Adult,POL24987681,Auto,238816,1395.87,2017-01-05,2019-08-12,Monthly,Active,949,Medium Term,1,AGT15247343,Pending,10,50,0,Medium Risk,0,At Risk
CUST90683254,Caleb Lopez,Male,19,Teaching laboratory technician,Widowed,"South Christopherville, Arizona, 79865",18-25,0,0,Young Adult,POL65820287,Life,302868,751.95,2018-12-27,2027-08-28,Monthly,Active,3166,Long Term,1,AGT96226967,Pending,25,50,0,Medium Risk,0,At Risk
CUST90683254,Caleb Lopez,Male,19,Teaching laboratory technician,Widowed,"South Christopherville, Arizona, 79865",18-25,0,0,Young Adult,POL71626215,Health,311534,692.57,2019-02-22,2024-06-19,Quarterly,Terminated,1944,Long Term,0,AGT86110587,Not Renewed,25,54,0,Medium Risk,0,Churned
CUST34601326,Jonathan Williams,Female,71,Chiropractor,Single,"Gonzalezstad, Washington, 62133",56+,0,1,Senior Adult,POL91190170,Health,420928,635.95,2015-10-10,2025-04-19,Quarterly,Terminated,3479,Long Term,0,AGT22823619,Pending,26,49,0,Medium Risk,0,At Risk
CUST47460421,Tamara Jackson,Other,80,"Engineer, electronics",Single,"Port Ericaburgh, Michigan, 69900",56+,0,1,Senior Adult,POL97881363,Life,41444,142.36,2024-04-20,2033-06-22,Quarterly,Active,3350,Long Term,1,AGT85867026,Not Renewed,12,42,0,Medium Risk,0,Churned
CUST47460421,Tamara Jackson,Other,80,"Engineer, electronics",Single,"Port Ericaburgh, Michigan, 69900",56+,0,1,Senior Adult,POL29228697,Health,421426,435.31,2022-07-29,2028-11-04,Annually,Lapsed,2290,Long Term,0,AGT72422447,Pending,33,82,1,High Risk,1,At Risk
CUST47460421,Tamara Jackson,Other,80,"Engineer, electronics",Single,"Port Ericaburgh, Michigan, 69900",56+,0,1,Senior Adult,POL35328184,Health,442172,1132.34,2017-05-10,2025-09-20,Quarterly,Terminated,3055,Long Term,0,AGT19978799,Pending,32,91,1,High Risk,1,At Risk
CUST97126861,Brandi Collins,Male,53,Patent examiner,Single,"North Brookemouth, Hawaii, 31881",46-55,0,0,Senior Adult,POL98955756,Health,210103,1617.27,2016-12-04,2022-03-07,Quarterly,Active,1919,Long Term,1,AGT69001186,Pending,41,2,0,Low Risk,0,At Risk
CUST97126861,Brandi Collins,Male,53,Patent examiner,Single,"North Brookemouth, Hawaii, 31881",46-55,0,0,Senior Adult,POL73942223,Life,482104,1646.7,2016-04-02,2022-05-07,Quarterly,Terminated,2226,Long Term,0,AGT38391593,Not Renewed,27,4,0,Low Risk,0,Churned
CUST02233588,Jerome Page,Other,81,Tax inspector,Widowed,"Johnsonshire, Nebraska, 87296",56+,0,1,Senior Adult,POL53660854,Life,403020,1832.76,2015-12-05,2023-10-23,Monthly,Active,2879,Long Term,1,AGT05331358,Renewed,19,90,1,High Risk,1,Loyal
CUST02233588,Jerome Page,Other,81,Tax inspector,Widowed,"Johnsonshire, Nebraska, 87296",56+,0,1,Senior Adult,POL49945378,Auto,145567,974,2023-12-05,2028-07-17,Monthly,Terminated,1686,Long Term,0,AGT55714499,Not Renewed,15,33,0,Medium Risk,0,Churned
CUST63525013,Carol Brown,Female,29,"Designer, industrial/product",Divorced,"Rosefort, Oklahoma, 79665",26-35,0,0,Young Adult,POL70863328,Property,201046,368.04,2019-03-18,2022-02-17,Monthly,Lapsed,1067,Medium Term,0,AGT64069744,Pending,35,37,0,Medium Risk,0,At Risk
CUST63525013,Carol Brown,Female,29,"Designer, industrial/product",Divorced,"Rosefort, Oklahoma, 79665",26-35,0,0,Young Adult,POL81184325,Health,491159,1233.74,2015-01-24,2019-07-07,Quarterly,Lapsed,1625,Long Term,0,AGT12684765,Not Renewed,48,10,0,Low Risk,0,Churned
CUST70215391,Stacey Simpson,Male,79,Insurance underwriter,Married,"Williamschester, Illinois, 72402",56+,1,1,Senior Adult,POL65504828,Health,195603,1759.66,2015-11-02,2021-10-08,Monthly,Terminated,2167,Long Term,0,AGT09870015,Renewed,23,23,0,Low Risk,0,Loyal
