Policy ID,Policy Type,Coverage Amount,Premium Amount,Policy Start Date,Policy End Date,Payment Frequency,Status,Customer ID,Policy Duration Days,Policy Duration Category,Active Policy Flag,Name,Gender,Age,Occupation,Marital Status,"Address (City, State, Zip Code)",Age Bucket,Married Flag,Senior Citizen Flag,Customer Segment,Agent ID,Renewal Status,Policy Discounts,Risk Score,High_Risk_Flag,Risk Category,High Risk Flag,Renewal Segment
POL27806251,Property,436672,1273.79,2018-12-27,2024-08-21,Monthly,Lapsed,CUST55344519,2064,Long Term,0,Bryan Allen,Female,29,Civil Service administrator,Divorced,"Thompsonville, Rhode Island, 57344",26-35,0,0,Young Adult,AGT43228742,Not Renewed,31,42,0,Medium Risk,0,Churned
POL96934398,Auto,102437,1556.75,2021-09-03,2024-08-02,Monthly,Terminated,CUST71194311,1064,Medium Term,0,Tyler Schroeder,Other,39,Actuary,Single,"Harrisville, Oklahoma, 18328",36-45,0,0,Middle Age,AGT46808172,Pending,12,76,1,High Risk,1,At Risk
POL93505220,Auto,88101,886.53,2018-01-30,2026-01-03,Monthly,Lapsed,CUST58699451,2895,Long Term,0,Jessica Myers,Other,51,Housing manager/officer,Divorced,"New Alexandrafurt, Michigan, 10757",46-55,0,0,Senior Adult,AGT32340750,Pending,17,5,0,Low Risk,0,At Risk
POL39531025,Property,459915,197.75,2022-04-03,2032-02-15,Quarterly,Terminated,CUST72186583,3605,Long Term,0,Maria Marshall,Male,33,"Psychotherapist, child",Married,"Christopherville, South Dakota, 47471",26-35,1,0,Middle Age,AGT68647921,Not Renewed,18,80,1,High Risk,1,Churned
POL38769300,Health,22098,868.51,2021-10-02,2027-09-18,Quarterly,Active,CUST04808502,2177,Long Term,1,Betty Sanchez,Male,66,Photographer,Divorced,"Hollystad, Alabama, 41791",56+,0,1,Senior Adult,AGT57092464,Pending,28,1,0,Low Risk,0,At Risk
POL07841878,Health,347514,1931.83,2020-09-17,2026-08-28,Monthly,Active,CUST47527169,2171,Long Term,1,James Collins,Other,36,Ship broker,Divorced,"East Timothyville, Texas, 15799",36-45,0,0,Middle Age,AGT47653967,Renewed,25,36,0,Medium Risk,0,Loyal
POL21963992,Property,288036,247.04,2018-03-27,2019-08-04,Monthly,Active,CUST57892719,495,Medium Term,1,Anthony Johnson,Female,31,"Designer, textile",Single,"East David, Wisconsin, 73385",26-35,0,0,Middle Age,AGT05457971,Not Renewed,2,99,1,High Risk,1,Churned
POL64589705,Health,394231,152.13,2024-06-14,2025-12-04,Quarterly,Terminated,CUST97231935,538,Medium Term,0,Kerry Huynh MD,Male,43,"Copywriter, advertising",Widowed,"Julianview, Pennsylvania, 64392",36-45,0,0,Middle Age,AGT63127637,Not Renewed,13,100,1,High Risk,1,Churned
POL49133977,Property,148162,1383.65,2015-04-06,2019-09-23,Quarterly,Terminated,CUST67080051,1631,Long Term,0,Susan Richmond,Other,84,"Education officer, museum",Single,"Allenshire, North Dakota, 96830",56+,0,1,Senior Adult,AGT49332725,Not Renewed,7,35,0,Medium Risk,0,Churned
POL80278196,Life,376522,1546.14,2020-11-01,2027-06-22,Quarterly,Lapsed,CUST45705025,2424,Long Term,0,Matthew Carter,Male,55,"Biochemist, clinical",Married,"Robinsonmouth, Nebraska, 82813",46-55,1,0,Senior Adult,AGT70109277,Not Renewed,9,64,0,High Risk,0,Churned
POL89935970,Property,499740,1488.73,2021-02-19,2027-12-09,Quarterly,Active,CUST47003736,2484,Long Term,1,Harold Ward,Male,71,Podiatrist,Widowed,"Franciscofurt, West Virginia, 35613",56+,0,1,Senior Adult,AGT41262935,Pending,11,80,1,High Risk,1,At Risk
POL40425029,Life,413248,279.96,2021-08-07,2024-06-20,Monthly,Active,CUST15756529,1048,Medium Term,1,Javier Jones,Other,57,Investment analyst,Single,"Rossbury, California, 06540",56+,0,0,Senior Adult,AGT39802391,Not Renewed,14,41,0,Medium Risk,0,Churned
POL59138324,Health,274869,288.84,2020-07-18,2027-05-07,Annually,Lapsed,CUST24464034,2484,Long Term,0,Christopher Benjamin,Female,42,Recruitment consultant,Divorced,"Valerieland, Rhode Island, 86343",36-45,0,0,Middle Age,AGT69637553,Renewed,43,95,1,High Risk,1,Loyal
POL79312567,Auto,17245,186.85,2024-09-11,2034-04-28,Annually,Active,CUST18926459,3516,Long Term,1,Corey Ryan,Female,58,Aeronautical engineer,Widowed,"Jesusmouth, North Carolina, 91190",56+,0,0,Senior Adult,AGT00978847,Pending,7,48,0,Medium Risk,0,At Risk
POL05760636,Life,86153,1863.95,2024-10-02,2027-10-12,Annually,Active,CUST92370305,1105,Long Term,1,Ronald Ward,Female,21,Aid worker,Single,"Shawmouth, North Dakota, 67532",18-25,0,0,Young Adult,AGT65699402,Pending,15,62,0,High Risk,0,At Risk
POL09606287,Life,430745,722.68,2024-01-04,2025-11-29,Monthly,Terminated,CUST93527354,695,Medium Term,0,Troy Harrell,Female,27,Clinical psychologist,Married,"North Brandonhaven, Illinois, 50704",26-35,1,0,Young Adult,AGT52126806,Pending,17,95,1,High Risk,1,At Risk
